Question,"","","","","","","","","",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
session_ID,Email,First Name,Last Name,CustomA,CustomB,Start Time,End Time,Duration,IP Address,What movie genre is your favorite?,Are you a dog person or a cat person,What is your preferred Operating System?,Do you prefer activities on your own or with others?,Star Wars or Star Trek?,Are you a good singer?,Do you nake wishes upon stars?,Do you play a musical instrument?,"On average, how many hours per day do you spend on the internet?","On average, how many hours per week do you spend coding?","On average, how many hours each week do you exercise?","How many meetups, of any kind, did you attend last year (2018)? Please enter 0 for none.",How many on-line courses have you taken?  Please enter 0 for none?,Do you own a small single-board computer such as a raspberry pi?,What is your age group?
14504456,"","","","","",2018-12-03 01:19:00,2018-12-03 01:20:00,00:01:00,"",Science Fiction,Cat Person,Windows,With Others,Star Trek,Yes,No,Yes,4,15,1,10,2,No,30 to 45 Years Old
14504491,"","","","","",2018-12-03 02:10:00,2018-12-03 02:11:00,00:01:00,"",Science Fiction,Dog Person,Windows,Individual (On my own),Star Wars,No,Yes,No,12,0,0,11,2,No,30 to 45 Years Old
14506542,"","","","","",2018-12-03 16:45:00,2018-12-03 16:46:00,00:01:00,50.197.1.225,Science Fiction,Dog Person,Linux,Individual (On my own),Star Trek,No,Yes,No,3,20,16,6,8,Yes,Over 45 Years Old
14506729,"","","","","",2018-12-03 17:40:00,2018-12-03 17:43:00,00:03:00,"",Science Fiction,Dog Person,Windows,Individual (On my own),Star Trek,Yes,Yes,Yes,10,45,2,8,15,No,30 to 45 Years Old
14506739,"","","","","",2018-12-03 17:45:00,2018-12-03 17:46:00,00:01:00,205.128.239.62,Comedy,Cat Person,Linux,With Others,Star Trek,Yes,Yes,No,30,40,5,30,5,No,Less than 30 Years Old
14516846,"","","","","",2018-12-07 03:13:00,2018-12-07 03:15:00,00:02:00,73.135.248.193,Adventure,Dog Person,Linux,With Others,Star Wars,Yes,Yes,Yes,10,10,8,12,2,Yes,Over 45 Years Old
14521133,"","","","","",2018-12-09 18:22:00,2018-12-09 18:24:00,00:02:00,71.244.148.132,Romance,Dog Person,Linux,Individual (On my own),Star Trek,Yes,No,Yes,1,40,5,6,5,No,Over 45 Years Old
14531363,"","","","","",2018-12-13 23:10:00,2018-12-13 23:14:00,00:04:00,"",Adventure,Dog Person,Mac,With Others,Star Trek,No,Yes,No,6,1,4,3,40,No,Over 45 Years Old
